cardID;name;country;type;health;defenceA;defenceL;defenceN;attackA;attackL;attackN;
2000001;Livgardet;79;1;15;0;10;0;0;16;0;
2000002;JAS 39 Gripen;79;0;30;20;0;0;25;0;0;
2000003;Saab 340;79;0;50;5;0;0;5;0;0;
2000004;K12 HMS Malma;79;2;60;0;0;50;0;0;60;
2000005;HMS Gavle;79;2;50;0;0;50;0;0;70;
2000006;2. Brigadstaben;79;1;5;0;5;0;0;10;0;
2000007;1. Tekniska Bataljon;79;1;5;0;5;0;0;10;0;
2000008;3. Brigadstaben;79;1;5;0;5;0;0;10;0;
2000009;Livbataljonen;79;1;5;0;5;0;0;10;0;
2000010;13. Sakerhetsbataljon;79;1;5;0;5;0;0;10;0;
2000011;21. Ingenjorsbataljonen;79;1;5;0;5;0;0;10;0;
2000012;22. Ingenjorsbataljonen;79;1;5;0;5;0;0;10;0;
2000013;7. Latta bataljonen;79;1;5;0;5;0;0;10;0;
2000014;7. Latta bataljonen;79;1;5;0;5;0;0;10;0;
2000015;32. Underrattelsebataljonen;79;1;5;0;5;0;0;10;0;
2000016;41. Mekaniserade bataljonen;79;1;5;0;5;0;0;10;0;
2000017;42. Mekaniserade bataljonen;79;1;5;0;5;0;0;10;0;
2000018;61. Luftvarnsbataljonen;79;1;5;0;5;0;0;10;0;
2000019;62. Luftvarnsbataljonen;79;1;5;0;5;0;0;10;0;
2000020;71. Mekaniserade bataljonen;79;1;5;0;5;0;0;10;0;
2000021;72. Mekaniserade bataljonen;79;1;5;0;5;0;0;10;0;
2000022;91. Artilleribataljon;79;1;5;0;5;0;0;10;0;
2000023;92. Artilleribataljon;79;1;5;0;5;0;0;10;0;
2000024;191. Mekaniserade bataljonen;79;1;5;0;5;0;0;10;0;
2000025;192. Mekaniserade bataljonen;79;1;5;0;5;0;0;10;0;
2000026;193. Jagarbataljonen;79;1;5;0;5;0;0;10;0;
2000027;1. CBRN-kompaniet;79;1;5;0;5;0;0;10;0;
2000028;1. Transportkompaniet;79;1;5;0;5;0;0;10;0;
2000029;1. Stridsvagnskompaniet;79;1;5;0;5;0;0;10;0;
2000030;2. Stridsvagnskompaniet;79;1;5;0;5;0;0;10;0;
2000031;3. Stridsvagnskompaniet;79;1;5;0;5;0;0;10;0;
2000032;14. Militarpoliskompaniet;79;1;5;0;5;0;0;10;0;
2000033;15. Militarpoliskompaniet;79;1;5;0;5;0;0;10;0;
